title,studio,domestic_gross,foreign_gross,year,movie_id,primary_title,start_year,runtime_minutes,genres,averagerating,numvotes
99 homes,BG,1400000.0,0.0,2015,tt2891174,99 homes,2014,112.0,Drama,7.1,26699
welcome back,Eros,1400000.0,0.0,2015,tt1816714,welcome back,2011,49.0,"Documentary,Drama,Family",6.7,6
welcome back,Eros,1400000.0,0.0,2015,tt3159708,welcome back,2015,152.0,"Action,Comedy,Crime",4.2,5040
the salt of the earth,SPC,1300000.0,0.0,2015,tt3674140,the salt of the earth,2014,110.0,"Biography,Documentary,History",8.4,17262
maps to the stars,FCW,351000.0,988000.0,2015,tt2172584,maps to the stars,2014,111.0,"Comedy,Drama",6.2,35049
the wolfpack,Magn.,1300000.0,0.0,2015,tt2415458,the wolfpack,2015,90.0,"Biography,Documentary",7.0,11069
veteran,CJ,1200000.0,0.0,2015,tt4768764,veteran,2015,123.0,"Action,Comedy,Crime",7.0,4049
goodnight mommy,RTWC,1200000.0,0.0,2015,tt3086442,goodnight mommy,2014,99.0,"Horror,Mystery,Thriller",6.7,35640
black sea,Focus,1200000.0,0.0,2015,tt2261331,black sea,2014,114.0,"Adventure,Drama,Thriller",6.4,32021
miss you already,RAtt.,1200000.0,0.0,2015,tt2245003,miss you already,2015,112.0,"Comedy,Drama,Romance",6.8,15583
where hope grows,RAtt.,1200000.0,0.0,2015,tt3200980,where hope grows,2014,95.0,"Drama,Family",6.6,2747
cartel land,Orch.,704000.0,422000.0,2015,tt4126304,cartel land,2015,100.0,Documentary,7.4,16653
timbuktu,Cohen,1100000.0,0.0,2015,tt3409392,timbuktu,2014,97.0,Drama,7.2,14719
dior and i,Orch.,1000000.0,0.0,2015,tt3539664,dior and i,2014,90.0,Documentary,7.3,3192
5 flights up,FCW,1000000.0,0.0,2015,tt2933544,5 flights up,2014,88.0,"Comedy,Drama",6.2,7911
big stone gap,PH,1000000.0,0.0,2015,tt3254796,big stone gap,2014,103.0,"Comedy,Romance",5.6,2159
gett: the trial of viviane amsalem,MBox,988000.0,0.0,2015,tt3062880,gett: the trial of viviane amsalem,2014,115.0,Drama,7.7,5535
boruto: naruto the movie,Elev.,920000.0,0.0,2015,tt4618398,boruto: naruto the movie,2015,95.0,"Action,Adventure,Animation",8.0,7105
mustang,Cohen,845000.0,0.0,2015,tt3966404,mustang,2015,97.0,Drama,7.6,30899
labyrinth of lies,SPC,794000.0,0.0,2015,tt3825638,labyrinth of lies,2014,124.0,"Drama,History",7.3,10435
the d train,IFC,673000.0,102000.0,2015,tt2690138,the d train,2015,101.0,"Comedy,Drama",5.0,10066
seymour: an introduction,IFC,744000.0,0.0,2015,tt2219650,seymour: an introduction,2014,84.0,"Biography,Documentary,Music",7.5,921
tangerine,Magn.,702000.0,0.0,2015,tt3824458,tangerine,2015,88.0,"Comedy,Crime,Drama",7.1,23133
